,text,favourite_count,retweet_count,created_at
71,"RT @EricHaftelLive: Four days ago, Senator Lindsey Graham mocked House Democrats for wearing masks.

Today, Senator Lindsey Graham has test…",0,371,2021-08-02 23:59:46
72,"RT @CNN: JUST IN: Republican Sen. Lindsey Graham says he's tested positive for Covid after being vaccinated, and is certain he'd feel worse…",0,228,2021-08-02 23:59:46
73,"RT @AaronParnas: Breaking: Florida is now reporting 10,389 total COVID-19 related hospitalizations. 

This is another new record. #GetVacci…",0,511,2021-08-02 23:59:46
74,"RT @AnaCabrera: NEW: Kaiser Permanente, one of the nation’s largest health care providers, will require all of its physicians and employees…",0,3885,2021-08-02 23:59:46
75,"RT @michaelcdeibert: Mr Lordi, singer of Finnish heavy metal band Lordi, receives his second dose of Covid-19 vaccine in Rovaniemi, Finland…",0,9106,2021-08-02 23:59:46
76,"RT @AnaCabrera: NEW: Kaiser Permanente, one of the nation’s largest health care providers, will require all of its physicians and employees…",0,3885,2021-08-02 23:59:46
77,"@MollyJongFast 💀💀💀💀💀💀💀💀💀💀💀💀💀💀ORANGE CALIGULA 💀 HARBINGER OF ☠️☠️ DEATH ☠️ ☠️ 💀💀 ☠️☠️☠️☠️🚩AND HIS GOP COVID-19 DEATH SQUAD 🇺🇸 BE BEST COVID-19, SUPER SPREADERS 💀MAGA,: KILLEM ALL COUNT THEM LATER DEATH  TOUR  🚩👍☠️BE BEST DEPLORABLES &amp;  MURDERERS🚩☠️ https://t.co/l0sBDJg8Ki",2,1,2021-08-02 23:59:45
78,"RT @TheRealHoarse: “Devereaux said she now plans to get vaccinated and is encouraging everyone else to as well.”

She NOW plans to get vaxe…",0,680,2021-08-02 23:59:45
79,"@SCloud564 @billysunday1 mRNA is basically ""plug and play""

They take the genome of the New variant,  and put it into the base of the vaccine...

One company has just applied for approval for a combination ""Measles, Mumps, Rubella...and Covid-19 vaccine",1,0,2021-08-02 23:59:45
80,"RT @DrCraigEmerson: The delta variant of Covid-19 entered Australia via an unvaccinated, unmasked limousine driver transporting an overseas…",0,619,2021-08-02 23:59:44
81,"@RevinoVic Hi there, you can check your eligibility online by visiting @ServiceGovAu website here: https://t.co/boM0q3nDPY
If your visa is eligible, you can claim by calling 180 22 66.",0,0,2021-08-02 23:59:44
82,"RT @beverleyturner: Dear @tiktok_uk and @castingcallpro...
Please can you explain this? Why are you advertising for actors to film themselv…",0,2117,2021-08-02 23:59:44
83,"RT @ProfPCDoherty: More children do seem to be experiencing more severe disease from the delta variant, though their role in transmission i…",0,91,2021-08-02 23:59:43
84,"RT @mmpadellan: BREAKING: Senator Lindsey Graham has tested positive for COVID-19.

Still testing negative for spine, tho.",0,6425,2021-08-02 23:59:43
85,RT @JDeanWilliams: Can’t believe COVID-19 was renewed for season 2.,0,1235,2021-08-02 23:59:43
86,"RT @LauraMiers: “Nevada reports a COVID-19 test positivity rate of 14.9% and 2,531 new virus infections since Friday, according to data rel…",0,8,2021-08-02 23:59:42
87,"RT @POTUS: We are prepared to deal with the surge in COVID-19 cases like never before.  
 
Unlike a year ago, we have the ability to save l…",0,6686,2021-08-02 23:59:42
88,@debbiespetfarm @POTUS Moron.  You can still get COVID-19 after being vaccinated.  You just DON'T GET REALLY SICK AND DIE!,0,0,2021-08-02 23:59:42
89,RT @politicalham: I interview Calgary ER doc Joe Vipond about why @CMOH_Alberta's decision to end COVID-19 pandemic management is a terribl…,0,117,2021-08-02 23:59:42
90,RT @thehill: YouTube bars Murdoch-owned news outlet from uploads over COVID-19 misinformation https://t.co/KkAiGcLjS4 https://t.co/0ZI49wWg…,0,37,2021-08-02 23:59:42
91,RT @Meidas_LaurenA: “Equating the possibility of private entities requiring their employees to receive the Covid-19 vaccine to the Holocaus…,0,2,2021-08-02 23:59:42
92,RT @LoosaNoosa: @aclennell @GladysB @BradHazzard Concerns grow over high numbers of Queensland children infected with COVID-19 - RN Breakfa…,0,6,2021-08-02 23:59:42
93,"RT @tomaskenn: It's wild that while Florida is leading nationwide in Covid-19 cases, hospitalizations, and deaths, Ron Desantis threatens t…",0,217,2021-08-02 23:59:41
94,RT @ChuckCallesto: BREAKING REPORT:  74% of Covid-19 Cases in “Cape Cod Cluster Outbreak” Were Fully Vaccinated...,0,2700,2021-08-02 23:59:41
95,RT @ABC7: More than 99.99% of people fully vaccinated against Covid-19 have not had a breakthrough case resulting in hospitalization or dea…,0,593,2021-08-02 23:59:41
96,"RT @EricHaftelLive: Four days ago, Senator Lindsey Graham mocked House Democrats for wearing masks.

Today, Senator Lindsey Graham has test…",0,371,2021-08-02 23:59:41
97,"RT @SenatorCarper: This is what progress looks like.
 
Thanks to the bold leadership of @POTUS and his Administration, today our nation rea…",0,166,2021-08-02 23:59:41
98,RT @glennbeck: Australia is now using its military to enforce COVID-19 lockdowns. I'm no longer sure America would never put up with that h…,0,180,2021-08-02 23:59:40
99,RT @ChuckCallesto: BREAKING REPORT:  74% of Covid-19 Cases in “Cape Cod Cluster Outbreak” Were Fully Vaccinated...,0,2700,2021-08-02 23:59:40
100,"Sen. Lindsey Graham tests positive for COVID-19, despite being vaccinated. 
But keep you mask on they also work really well.",0,0,2021-08-02 23:59:40
101,"RT @josh_tep: Hey, everyone.  As you may know, my dad recently passed away from COVID-19 related complications.  I’ve lowered the reserve o…",0,155,2021-08-02 23:59:40
102,"RT @joshrogin: New congressional report says covid-19 likely emerged in Wuhan in SEPTEMBER 2019, not December https://t.co/0ZDnggrIBv by me…",0,632,2021-08-02 23:59:40
103,"Remaining counties reported fewer than 10 new cases. Latest numbers bring total cases in New Mexico since the start of the pandemic to 211,462, of which 197,097 are designated as having recovered.

As of today, 148 people are  hospitalized in New Mexico with  COVID-19. 

4/4",0,0,2021-08-02 23:59:40
104,Kaiser Permanente mandating COVID-19 vaccine for employees and physicians https://t.co/rTJQLc3rTL via @abc7,4,2,2021-08-02 23:59:39
105,"LinkedIn to Debut Limited Series Reshuffle, on How Covid-19 Shaped the World of Work - https://t.co/7IiT4iECPk",0,0,2021-08-02 23:59:39
106,"@NMDOH reported four deaths and 1,076 new cases of COVID-19 in New Mexico in the last three days. Bernalillo, Chaves, Curry and Valencia counties each recorded one death between Saturday, Sunday and Monday. New Mexico's death toll from the virus since March 2020 is 4,414.

1/4",0,0,2021-08-02 23:59:39
107,"RT @mmpadellan: When Pearl Harbor happened,
America united against a common enemy.

When 9/11 happened,
America united against a common ene…",0,630,2021-08-02 23:59:39
108,"RT @KFILE: CNN KFile: The top RNC official in Florida, amid surging cases in the state, has spread COVID-19 conspiracies that COVID-19 vacc…",0,121,2021-08-02 23:59:39
109,"RT @SpiroAgnewGhost: About 99.999% of fully vaccinated Americans have not had a deadly Covid-19 breakthrough case, CDC data shows 

What a…",0,107,2021-08-02 23:59:39
110,"RT @gopTODD: Get vaccinated!

Less than 0.001% of those fully vaccinated have had a fatal COVID-19 breakthrough case. 

Less than 0.004% of…",0,89,2021-08-02 23:59:38
111,RT @BNODesk: BREAKING: Number of people hospitalized with COVID-19 in Louisiana reaches all-time high https://t.co/rXpye9VCFM https://t.co/…,0,423,2021-08-02 23:59:38
112,"RT @POTUS: We are prepared to deal with the surge in COVID-19 cases like never before.  
 
Unlike a year ago, we have the ability to save l…",0,6686,2021-08-02 23:59:38
113,"RT @AnaCabrera: NEW: Kaiser Permanente, one of the nation’s largest health care providers, will require all of its physicians and employees…",0,3885,2021-08-02 23:59:37
114,RT @thehill: More than a million people under new lockdown in China amid COVID-19 outbreak https://t.co/JnGAfHGm8s https://t.co/q0TV4PMEQE,0,52,2021-08-02 23:59:37
115,"RT @tomaskenn: Press secretary for Ron Desantis @ChristinaPushaw, who gets paid $120,000 a year to spread Covid-19 misinformation, is now d…",0,545,2021-08-02 23:59:37
116,"RT @HealthNS: Nova Scotia Health Public Health advises of a potential exposure to COVID-19 in the Western Zone -  
Shopper’s Drug Mart – Ev…",0,16,2021-08-02 23:59:37
117,"RT @Outkick: The New York Times instructed its staffers not to investigate COVID-19's origin last year.

https://t.co/a8w1RZRXoZ",0,85,2021-08-02 23:59:37
118,"RT @EricHaftelLive: Four days ago, Senator Lindsey Graham mocked House Democrats for wearing masks.

Today, Senator Lindsey Graham has test…",0,371,2021-08-02 23:59:37
119,"RT @AnaCabrera: NEW: Kaiser Permanente, one of the nation’s largest health care providers, will require all of its physicians and employees…",0,3885,2021-08-02 23:59:37
120,The Sacramento Kings selected Neemias Queta from Utah State University last week in the NBA draft. Queta is the highest NBA draft pick from Utah State since 1981.  https://t.co/ySbfgaBIrY,0,0,2021-08-02 23:59:37
121,RT @MarkMeadows: Biden and Harris want you to believe we’re in a COVID-19 emergency while they do nothing to stop this,0,2156,2021-08-02 23:59:37
122,"RT @AnaCabrera: NEW: Kaiser Permanente, one of the nation’s largest health care providers, will require all of its physicians and employees…",0,3885,2021-08-02 23:59:37
123,"RT @AaronParnas: While Ron DeSantis has gone silent, @NikkiFried is giving daily briefings on COVID-19 and the status of the pandemic in Fl…",0,2417,2021-08-02 23:59:36
124,RT @DrJenGunter: Study shows no impact of COVID-19 vaccination on ovarian function during infertility therapy. Add it to the growing list o…,0,478,2021-08-02 23:59:36
125,"RT @AnnastaciaMP: COVID-19 Update: Deputy Premier @StevenJMiles, Health Minister @YvetteDAth and Chief Health Officer speaking in Brisbane…",0,23,2021-08-02 23:59:36
126,RT @HillaryClinton: The vaccines are protecting millions of people from COVID-19. Encourage a friend or family member to get vaccinated tod…,0,1228,2021-08-02 23:59:36
127,RT @thehill: JUST IN: Appeals court sides with Indiana University over requirement that all students be vaccinated against COVID-19 or wear…,0,78,2021-08-02 23:59:36
128,"#update Qld is reporting 16 new community-acquired cases of COVID-19, all linked to existing cluster and numerous schools. Total now at 47.",42,14,2021-08-02 23:59:36
129,"RT @SethAbramson: BUSINESS INSIDER: Senator Ron Johnson (R-WI) Would Support Vaccine Mandate for An ""Incredibly Deadly"" Virus—But Not COVID…",0,514,2021-08-02 23:59:36
130,"RT @1Obefiend: How many of your family members already died because of Covid-19?

I'll start.

9",0,3671,2021-08-02 23:59:36
131,RT @Independent: Tests show no traces of Covid-19 at railway stations https://t.co/TcUv5cTfjD,0,6,2021-08-02 23:59:35
132,"RT @nanwhaley: It is time to get the COVID-19 vaccine if you haven't already. 

Folks in Dayton and Montgomery County can find  information…",0,6,2021-08-02 23:59:35
133,"RT @mmpadellan: BREAKING: Senator Lindsey Graham has tested positive for COVID-19.

Still testing negative for spine, tho.",0,6425,2021-08-02 23:59:35
134,"RT @awgaffney: This is very wrong. The public health threat is exponential case growth within our borders, not migrants and asylum seekers…",0,16,2021-08-02 23:59:35
135,"RT @mjrowland68: 'At least six videos from Sky News Australia hosts Alan Jones, Rowan Dean and Rita Panahi have been deleted for violating…",0,312,2021-08-02 23:59:35
